,Unnamed: 0,#,Name,Article,Ring,Date,Links.1,Id_second_page
0,0,A,HORARIOS DOMINGO,Speed,Principal,2021-09-19,/results?id=16481&show=714,714
1,1,30,Abierta - 0.85 Mts,Tiempo Ideal,Principal,2021-09-19,/results?id=16478&show=714,714
2,2,29,RELEVO - 0.95 Mts / RELEVO - 105 Mts,Speed,Principal,2021-09-19,/results?id=16477&show=714,714
3,3,28,PRUEBA POR EQUIPOS - Abierta 1.15 Mts,Speed,Principal,2021-09-19,/results?id=16476&show=714,714
4,4,27,Abierta 1.25 Mts,Jump Off,Principal,2021-09-19,/results?id=16475&show=714,714
5,5,26,Abierta - 1.35 Mts,Jump Off,Principal,2021-09-19,/results?id=16474&show=714,714
6,6,25,Elite - 1.45 Mts,Jump Off,Principal,2021-09-19,/results?id=16473&show=714,714
7,7,24,Lead Line,II Blue Ribbon,Techado,2021-09-19,/results?id=16472&show=714,714
8,8,23,Verticales Menores y Mayores,Tiempo Ideal,Techado,2021-09-19,/results?id=16471&show=714,714
9,9,22,Novicios Menores y Mayores,Tiempo Ideal,Techado,2021-09-19,/results?id=16470&show=714,714
10,10,A,HORARIOS SABADO,Speed,Principal,2021-09-18,/results?id=16480&show=714,714
11,11,21,Abierta - Juvenil - Caballos de 7 años - 1.30 Mts,Jump Off,Principal,2021-09-18,/results?id=16469&show=714,714
12,12,20,Caballos Jovenes - 6 años - 1.20 Mts,Jump Off,Principal,2021-09-18,/results?id=16468&show=714,714
13,13,19,Owner Amateur y Abierta -1.20 Mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-09-18,/results?id=16467&show=714,714
14,14,18,Caballos segundo año - 1.10 Mts,Jump Off,Principal,2021-09-18,/results?id=16466&show=714,714
15,15,17,Owner - Infantil y Abierta - 1.10 Mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-09-18,/results?id=16465&show=714,714
16,16,16,U-14 Hasta 14 años y Abierta - 1.00 Mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-09-18,/results?id=16464&show=714,714
17,17,15,Pre Infantil y Abierta - 0.90 Mts,238 2.2 / 245.3 Desempate Sucesivo,Principal,2021-09-18,/results?id=16463&show=714,714
18,18,14,Caballos de primer año - 0.90 Mts,Tiempo Ideal,Principal,2021-09-18,/results?id=16462&show=714,714
19,19,13,U-10 Hasta 10 años y Abierta - 0.80 Mts,Tiempo Ideal,Principal,2021-09-18,/results?id=16461&show=714,714
20,20,A,HORARIOS VIERNES,Speed,Principal,2021-09-17,/results?id=16479&show=714,714
21,21,12,Novicios 0.50 Mts,Tiempo Ideal,Principal,2021-09-17,/results?id=16460&show=714,714
22,22,11,Verticales - 0.70 Mts,Tiempo Ideal,Principal,2021-09-17,/results?id=16459&show=714,714
23,23,10,Caballos de primer año - 0.85 Mts,Tiempo Ideal,Principal,2021-09-17,/results?id=16458&show=714,714
24,24,9,Abierta - 0.85 Mts,Tiempo Ideal,Principal,2021-09-17,/results?id=16457&show=714,714
25,25,8,Abierta - 0.95 Mts.,Speed,Principal,2021-09-17,/results?id=16456&show=714,714
26,26,7,Caballos de segundo año - 1.05 Mts.,Art. 238.1.1,Principal,2021-09-17,/results?id=16455&show=714,714
27,27,6,Abierta - 1.05 Mts.,Speed,Principal,2021-09-17,/results?id=16454&show=714,714
28,28,5,Abierta - 1.15 Mts,Speed,Principal,2021-09-17,/results?id=16453&show=714,714
29,29,4,Caballos Jóvenes 6 años - 1.20 Mts.,Speed,Principal,2021-09-17,/results?id=16452&show=714,714
30,30,3,Caballos Jóvenes 7 años -1.25 Mts,Special Two Phases,Principal,2021-09-17,/results?id=16451&show=714,714
31,31,2,Abierta - 1.25 Mts.,Special Two Phases,Principal,2021-09-17,/results?id=16450&show=714,714
32,32,1,Abierta -1.35 Mts.,Special Two Phases,Principal,2021-09-17,/results?id=16449&show=714,714
33,0,7,Amateur Prix 1.00M A)Abierta B) Libre,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-19,/results?id=16143&show=701,701
34,1,6,Petite Prix 0.90M A)Abierta B)Libre,Tiempo Ideal,Cesped,2021-09-19,/results?id=16142&show=701,701
35,2,5,Gran Prix 1.40M,Jump Off,Cesped,2021-09-19,/results?id=16141&show=701,701
36,3,4,Mini Prix 1.30M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-19,/results?id=16140&show=701,701
37,4,3,Preliminar Prix 1.20M A)Abierta B)Libre,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-19,/results?id=16139&show=701,701
38,5,2,Novicios 1.15M,Art. 238.1.1,Cesped,2021-09-19,/results?id=16138&show=701,701
39,6,1,Prenovicios 1.05M,Art. 238.1.1,Cesped,2021-09-19,/results?id=16137&show=701,701
40,7,12,Juveniles 1.30M,238 2.2 / 245.3 Desempate Sucesivo,Césped,2021-09-18,/results?id=16136&show=701,701
41,8,11,Prejuvenil 1.30M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-18,/results?id=16135&show=701,701
42,9,10,Abierta 1.20M,Jump Off,Cesped,2021-09-18,/results?id=16134&show=701,701
43,10,9,Jinetes B 1.10M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-18,/results?id=16133&show=701,701
44,11,8,Infantil 1.10M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-18,/results?id=16132&show=701,701
45,12,7,Abierta 1.10M A)Abierta B)Libre,Speed,Cesped,2021-09-18,/results?id=16131&show=701,701
46,13,6,Jinetes C 1.00M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-18,/results?id=16130&show=701,701
47,14,5,Infantil B 1.00M,Speed,Cesped,2021-09-18,/results?id=16129&show=701,701
48,15,4,Abierta 1.00M A)Abierta B)Libre,Speed,Cesep,2021-09-18,/results?id=16128&show=701,701
49,16,3,Jinetes D 0.90M,Speed,Cesped,2021-09-18,/results?id=16127&show=701,701
50,17,2,Preinfantil 0.90M,Art. 238.1.1,Cesped,2021-09-18,/results?id=16126&show=701,701
51,18,1,Abierta 0.80M A)Abierta B)Libre,Tiempo Ideal,Cesped,2021-09-18,/results?id=16125&show=701,701
52,19,8,Abierta 1.40M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-17,/results?id=16124&show=701,701
53,20,7,Abierta 1.30M,238 2.2 / 245.3 Desempate Sucesivo,Césped,2021-09-17,/results?id=16123&show=701,701
54,21,6,Abierta 1.20M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-09-17,/results?id=16122&show=701,701
55,22,5,Novicios 1.10M,Art. 238.1.1,Césped,2021-09-17,/results?id=16121&show=701,701
56,23,4,Abierta 1.10M A)Abierta B)Libre,Speed,Cesped,2021-09-17,/results?id=16120&show=701,701
57,24,3,Prenovicios 1.00M,Art. 238.1.1,Cesped,2021-09-17,/results?id=16119&show=701,701
58,25,2,Abierta 1.00m A)Abierta B)Libre,Speed,Cesped,2021-09-17,/results?id=16118&show=701,701
59,26,1,Abierta 0.90 A)Libre B)Abierta,Tiempo Ideal,Cesped,2021-09-17,/results?id=16117&show=701,701
60,0,8,ABIERTA,Training,Principal,2021-09-19,/results?id=16448&show=712,712
61,1,7,ABIERTA,Training,Principal,2021-09-19,/results?id=16447&show=712,712
62,2,6,CRIADORES,Art. 238.1.1,Principal,2021-09-19,/results?id=16446&show=712,712
63,3,5,NINOS C/TCR/ABIERTA,Art. 238.1.1,Principal,2021-09-19,/results?id=16445&show=712,712
64,4,4,CRIADORES,Art. 238.1.1,Principal,2021-09-19,/results?id=16444&show=712,712
65,5,3,NINOS C/TCR/EAMENOR/EAMAYOR/ABIERTA,Art. 238.1.1,Principal,2021-09-19,/results?id=16443&show=712,712
66,6,2,ABIERTA FEDERADOS Y NO FEDERADOS,Training,Principal,2021-09-19,/results?id=16442&show=712,712
67,7,1,SCHOOLING ESCUELITA,Training,Principal,2021-09-19,/results?id=16441&show=712,712
68,8,27,PARAECUESTRE GRADO II,Training,Principal,2021-09-18,/results?id=16432&show=712,712
69,9,36,PARAECUESTRE GRADO 1,Training,Principal,2021-09-18,/results?id=16431&show=712,712
70,10,35,BIG TOUR,FEI Seniors Intermediate I,Principal,2021-09-18,/results?id=16430&show=712,712
71,11,34,MEDIUM TOUR,FEI Seniors Intermediate I,Principal,2021-09-18,/results?id=16429&show=712,712
72,12,33,YOUNG RIDERS,FEI Prix St. George,Principal,2021-09-18,/results?id=16428&show=712,712
73,13,32,NIVEL IV-LIBRE,FEI Junior Team Competition Test,Principal,2021-09-18,/results?id=16427&show=712,712
74,14,31,NIVEL III-LIBRE,FEI Junior Team Competition Test,Principal,2021-09-18,/results?id=16426&show=712,712
75,15,30,NIVELII-LIBRE,FEI Preliminary Competition Test A Children,Principal,2021-09-18,/results?id=16425&show=712,712
76,16,29,NIVEL 1-LIBRE,FEI Preliminary Competition Test A Children,Principal,2021-09-18,/results?id=16424&show=712,712
77,17,23,INFANTIL,FEI Children Team Competition Test,Principal,2021-09-18,/results?id=16423&show=712,712
78,18,22,INTRODUCTORIA MAYOR,Training,Principal,2021-09-18,/results?id=16422&show=712,712
79,19,21,INTRODUCTORIA MENOR,Training,Principal,2021-09-18,/results?id=16421&show=712,712
80,20,20,PRE-INFANTIL A)Leccion Children Individual B) Leccion 3,FEI Preliminary Competition Test A Children,Principal,2021-09-18,/results?id=16420&show=712,712
81,21,19,JINETES DEBUTANTES A)Leccion Children Individual B) Leccion,FEI Preliminary Competition Test A Children,Principal,2021-09-18,/results?id=16419&show=712,712
82,22,18,CABALLOS DEBUTANTES A)Leccion Children Individual B) Leccio,FEI Preliminary Competition Test A Children,Principal,2021-09-18,/results?id=16418&show=712,712
83,23,17,JUVENILES,FEI Junior Team Competition Test,Principal,2021-09-18,/results?id=16417&show=712,712
84,24,16,SMALL TOUR-LIBRE,FEI Prix St. George,Principal,2021-09-18,/results?id=16416&show=712,712
85,25,OO,Solicitud de cuadra,Training,Principal,2021-09-17,/results?id=16494&show=712,712
86,26,15,BIG TOUR,FEI Seniors Intermediate I,Principal,2021-09-17,/results?id=16415&show=712,712
87,27,14,MEDIUM TOUR,FEI Seniors Intermediate I,Principal,2021-09-17,/results?id=16414&show=712,712
88,28,13,YOUNG RIDERS,FEI Prix St. George,Principal,2021-09-17,/results?id=16413&show=712,712
89,29,12,NIVEL IV-LIBRE,FEI Junior Team Competition Test,Principal,2021-09-17,/results?id=16412&show=712,712
90,30,11,NIVEL III-LIBRE,FEI Junior Team Competition Test,Principal,2021-09-17,/results?id=16411&show=712,712
91,31,10,NIVEL II-LIBRE,FEI Preliminary Competition Test A Children,Principal,2021-09-17,/results?id=16410&show=712,712
92,32,9,NIVEL I - LIBRE,FEI Preliminary Competition Test A Children,Principal,2021-09-17,/results?id=16409&show=712,712
93,33,8,INFANTIL,FEI Children Team Competition Test,Principal,2021-09-17,/results?id=16408&show=712,712
94,34,7,INTRODUCTORIA MAYOR,Training T1,Principal,2021-09-17,/results?id=16407&show=712,712
95,35,6,INTRODUCTORIA MENOR,Training T1,Principal,2021-09-17,/results?id=16406&show=712,712
96,36,5,PRE-INFANTIL A)Leccion Children Individual B) Leccion 3,FEI Preliminary Competition Test A Children,Principal,2021-09-17,/results?id=16405&show=712,712
97,37,4,JINETES DEBUTANTES A)Leccion Children Individual B) Leccion,FEI Preliminary Competition Test A Children,Principal,2021-09-17,/results?id=16404&show=712,712
98,38,3,CABALLOS DEBUTANTES A)Leccion Children Individual B) Leccion,FEI Preliminary Competition Test A Children,Principal,2021-09-17,/results?id=16403&show=712,712
99,39,2,JUVENILES,FEI Junior Team Competition Test,Principal,2021-09-17,/results?id=16402&show=712,712
100,40,1,SMALL TOUR,FEI Prix St. George,,2021-09-17,/results?id=16401&show=712,712
101,0,208,"$36,600 Cabana Coast Large Tour Grand Prix 1.45m CSI2*",Jump Off,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-18,/results?id=16288&show=660,660
102,1,505,"$230,000 MLSJ American Gold Cup Grand Prix FEI",Jump Off,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-18,/results?id=16285&show=660,660
103,2,504,"$72,900 1.45m Winning Round CSI5*",Winning Round,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-18,/results?id=16284&show=660,660
104,3,1032,"High Junior/AO Jumper, II 2.1",II.2a Jump Off,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-17,/results?id=16372&show=660,660
105,4,205,"$36,600 Large Tour 1.45m CSI 2* Speed",Speed,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-17,/results?id=16287&show=660,660
106,5,503,"$200,000 MLSJ Team Competition CSI5*",FEI YR Team Competition,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-17,/results?id=16283&show=660,660
107,6,502,"$36,600 Staller 1.45m Speed Stake CSI5*",Table C,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-17,/results?id=16282&show=660,660
108,7,202,"$5,000 Large Tour 1.40m",Two Phases,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-16,/results?id=16286&show=660,660
109,8,501,"$72,900 Premier Equestrian 1.50m CSI5*",Jump Off,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-16,/results?id=16281&show=660,660
110,9,500,"$1,000 1.40m Two Phase CSI5*",Two Phases,TURTLE CREEK CASINO INTERNATIONAL RING,2021-09-16,/results?id=16280&show=660,660
111,0,30,Final Copa 1.30,238 2.2 / 245.3 Desempate Sucesivo,Pista 1,2021-09-19,/results?id=16530&show=716,716
112,1,29,Final Copa 1.20,238 2.2 / 245.3 Desempate Sucesivo,Pista 1,2021-09-19,/results?id=16529&show=716,716
113,2,28,Final Copa 1.10,238 2.2 / 245.3 Desempate Sucesivo,Pista 1,2021-09-19,/results?id=16528&show=716,716
114,3,23,Abierta 1.50,Jump Off,Pista 1,2021-09-19,/results?id=16527&show=716,716
115,4,25,Final Copa 1.00,Special Two Phases,Pista 1,2021-09-19,/results?id=16526&show=716,716
116,5,24,Final Copa 0.80 - 0.90,Special Two Phases,Pista 1,2021-09-19,/results?id=16525&show=716,716
117,6,27,Final Copa 0.40,Tiempo Ideal,Pista 1,2021-09-19,/results?id=16524&show=716,716
118,7,26,Semillero,Training,Pista 1,2021-09-19,/results?id=16523&show=716,716
119,8,22,2DA Calificativa Copa 1.20,Special Two Phases,Pista 1,2021-09-18,/results?id=16522&show=716,716
120,9,21,2DA Calificativa Copa 1.10,Special Two Phases,Pista 1,2021-09-18,/results?id=16521&show=716,716
121,10,16,2DA Calificativa Copa 1.00,Special Two Phases,Pista 1,2021-09-18,/results?id=16520&show=716,716
122,11,20,Final Copa 0.60,Tiempo Ideal,Pista 1,2021-09-18,/results?id=16519&show=716,716
123,12,19,1RA Calificativa Copa 0.40,Tiempo Ideal,Pista 1,2021-09-18,/results?id=16518&show=716,716
124,13,18,Semillero,Training,Pista 1,2021-09-18,/results?id=16517&show=716,716
125,14,15,2DA Calificativa Copa 0.80,Tiempo Ideal,Pista 1,2021-09-18,/results?id=16516&show=716,716
126,15,17,Caballos Primer Año 1.00,Art. 238.1.1,Pista 1,2021-09-18,/results?id=16515&show=716,716
127,16,14,1RA calificativa Copa 0.60,Tiempo Ideal,Pista 1,2021-09-17,/results?id=16514&show=716,716
128,17,13,1RA Calificativa Copa 0.80,Tiempo Ideal,Pista 1,2021-09-17,/results?id=16513&show=716,716
129,18,12,1RA Calificativa Copa 1.00,Art. 238.1.1,Pista 1,2021-09-17,/results?id=16512&show=716,716
130,19,11,1RA Calificativa Copa 1.10,Speed,Pista 1,2021-09-17,/results?id=16511&show=716,716
131,20,10,Abierta 1.40,Jump Off,Pista 1,2021-09-17,/results?id=16510&show=716,716
132,21,9,2DA Calificativa Copa 1.30,Special Two Phases,Pista 1,2021-09-17,/results?id=16509&show=716,716
133,22,8,1RA Calificativa Copa 1.20,Speed,Pista 1,2021-09-17,/results?id=16508&show=716,716
134,23,7,Caballos Segundo Año 1.15,Art. 238.1.1,Pista 1,2021-09-17,/results?id=16507&show=716,716
135,24,6,Caballos Primer Año 1.00,Art. 238.1.1,Pista 1,2021-09-17,/results?id=16506&show=716,716
136,25,5,Abierta 1.40,Special Two Phases,Pista 1,2021-09-16,/results?id=16505&show=716,716
137,26,4,1ra Calificativa Copa 1.30,Speed,Pista 1,2021-09-16,/results?id=16504&show=716,716
138,27,3B,Trabajo 1.30,Art. 238.1.1,Pista 1,2021-09-16,/results?id=16503&show=716,716
139,28,3A,Caballos Tercer Año 1.25,Art. 238.1.1,Pista 1,2021-09-16,/results?id=16502&show=716,716
140,29,2B,Trabajo 1.20,Art. 238.1.1,Pista 1,2021-09-16,/results?id=16501&show=716,716
141,30,2A,Trabajo 1.10,Art. 238.1.1,Pista 1,2021-09-16,/results?id=16500&show=716,716
142,31,1B,Trabajo 1.00,Art. 238.1.1,Pista 1,2021-09-16,/results?id=16499&show=716,716
143,32,1A,Trabajo 0.80,Art. 238.1.1,Pista 1,2021-09-16,/results?id=16498&show=716,716
144,0,9,1.40-1.45 JINETES,Dos Recorridos Art. 273.3.3.2,,2021-11-09,/results?id=16331&show=709,709
145,1,8,1.30-1.35 JINETES,Dos Recorridos Art. 273.3.3.2,,2021-11-09,/results?id=16330&show=709,709
146,2,7,1.20 A: JINETES B: CABALLOS NUEVOS 6 AÑOS,Speed,,2021-11-09,/results?id=16329&show=709,709
147,3,6,1.10 A :JINETES B: JINETES de1era,Jump Off,,2021-11-09,/results?id=16328&show=709,709
148,4,5,1.00 A:MAYORES B:MENORES C: JINETES de 1era,Jump Off,,2021-11-09,/results?id=16327&show=709,709
149,5,4,0.90 A: MAYORES B: MENORES,Tiempo Ideal,,2021-11-09,/results?id=16326&show=709,709
150,6,3,0.80 A : MAYORES B : MENORES,Tiempo Ideal,1,2021-11-09,/results?id=16325&show=709,709
151,7,2,CABALLOS NUEVOS 5 AÑOS,Tiempo Ideal,,2021-11-09,/results?id=16324&show=709,709
152,8,1,CABALLOS NUEVOS 4 AÑOS,Tiempo Ideal,,2021-11-09,/results?id=16323&show=709,709
153,0,17,1.10 m Cronometro,Speed,1,2021-12-09,/results?id=16440&show=710,710
154,1,15,0.90 m Dos Fases,Two Phases,1,2021-12-09,/results?id=16439&show=710,710
155,2,14,0.80 m Desempate,Jump Off,1,2021-12-09,/results?id=16438&show=710,710
156,3,10,0.60 m Tiempo Ideal BC,Tiempo Ideal,1,2021-12-09,/results?id=16437&show=710,710
157,4,16,1.00 DESEMEPATE,238 2.2 / 245.3 Desempate Sucesivo,1,2021-12-09,/results?id=16370&show=710,710
158,5,13,LIBRE 1.30,238 2.2 / 245.3 Desempate Sucesivo,1,2021-12-09,/results?id=16367&show=710,710
159,6,12,LIBRE 1.20,Speed,1,2021-12-09,/results?id=16366&show=710,710
160,7,11,0.70 TIEMPO IDEAL FEM,Tiempo Ideal 2 Recorridos,1,2021-12-09,/results?id=16365&show=710,710
161,8,9,1.10 m Desempate,Jump Off,1,2021-11-09,/results?id=16436&show=710,710
162,9,7,0.90 m Cronometro,Speed,1,2021-11-09,/results?id=16435&show=710,710
163,10,6,0.80 m Dos Fases,Two Phases,1,2021-11-09,/results?id=16434&show=710,710
164,11,2,0.60 m Tiempo Ideal BC,Tiempo Ideal,1,2021-11-09,/results?id=16433&show=710,710
165,12,8,1.00 CRONOMETRO,Speed,1,2021-11-09,/results?id=16362&show=710,710
166,13,5,LIBRE 1.30,Speed,1,2021-11-09,/results?id=16359&show=710,710
167,14,4,LIBRE 1.20,Jump Off,1,2021-11-09,/results?id=16358&show=710,710
168,15,3,TIEMPO IDEAL FEM,Tiempo Ideal 2 Recorridos,1,2021-11-09,/results?id=16357&show=710,710
169,16,1,TRAINING,Training,1,2021-10-09,/results?id=16356&show=710,710
170,0,8,Amateur Prix 1.05M A)Abierta B)Libre,Speed,Cesped,2021-12-09,/results?id=16336&show=704,704
171,1,7,Petite Prix 0.90M A)Abierta B)Libre,Tiempo Ideal,Cesped,2021-12-09,/results?id=16335&show=704,704
172,2,6,Gran Prix 1.40M,Jump Off,Cesped,2021-12-09,/results?id=16334&show=704,704
173,3,5,Mini Prix 1.30M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-12-09,/results?id=16333&show=704,704
174,4,4,Preliminar Prix 1.20M A)Abierta B)Libre,Speed,Cesped,2021-12-09,/results?id=16332&show=704,704
175,5,3,Novicios 1.15,Art. 238.1.1,Cesped,2021-12-09,/results?id=16322&show=704,704
176,6,2,Prenovicios 1.05M,Art. 238.1.1,Cesped,2021-12-09,/results?id=16321&show=704,704
177,7,1,Fei Childrens Bronze Competicion 2,Dos Recorridos Art. 273.3.3.2,Cesped,2021-12-09,/results?id=16320&show=704,704
178,8,9,Abierta 1.10M A)Abierta B)Libre,Speed,Cesped,2021-11-09,/results?id=16319&show=704,704
179,9,8,Jinetes B 1.10M,Speed,Cesped,2021-11-09,/results?id=16318&show=704,704
180,10,7,Jinetes C 1.00M,Speed,Cesped,2021-11-09,/results?id=16317&show=704,704
181,11,6,Abierta 1.00M A)Abierta B)Libre,Speed,Cesped,2021-11-09,/results?id=16316&show=704,704
182,12,5,Jinetes D 0.90M,Speed,Cesped,2021-11-09,/results?id=16315&show=704,704
183,13,4,Preinfantil 0.90M,Art. 238.1.1,Cesped,2021-11-09,/results?id=16314&show=704,704
184,14,3,Abierta 0.80M A)Abierta B)Libre,Tiempo Ideal,Cesped,2021-11-09,/results?id=16313&show=704,704
185,15,2,Fei Childrens Gold Tour Competicion 2,Dos Recorridos Art. 273.3.3.2,Cesped,2021-11-09,/results?id=16312&show=704,704
186,16,1,Fei Childrens Silver Tour Competicion 2,Dos Recorridos Art. 273.3.3.2,Cesped,2021-11-09,/results?id=16311&show=704,704
187,17,13,Abierta 1.40M,Speed,Cesped,2021-10-09,/results?id=16310&show=704,704
188,18,12,Juvenil 1.30M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-10-09,/results?id=16309&show=704,704
189,19,11,Abierta 1.30M,Speed,Cesped,2021-10-09,/results?id=16308&show=704,704
190,20,10,Prejuvenil 1.25M,238 2.2 / 245.3 Desempate Sucesivo,Cesped,2021-10-09,/results?id=16307&show=704,704
191,21,9,Abierta 1.20M,Speed,Cesped,2021-10-09,/results?id=16306&show=704,704
192,22,8,Fei Childrens Gold Tour,Dos Recorridos Art. 273.3.3.2,Cesped,2021-10-09,/results?id=16305&show=704,704
193,23,7,Fei Childrens Silver Tour,Dos Recorridos Art. 273.3.3.2,Cesped,2021-10-09,/results?id=16260&show=704,704
194,24,6,Novicios 1.10M,Art. 238.1.1,Arena,2021-10-09,/results?id=16259&show=704,704
195,25,5,Abierta 1.10M A)Abierta B)Libre,Speed,Arena,2021-10-09,/results?id=16258&show=704,704
196,26,4,Prenovicios 1.00M,Art. 238.1.1,Arena,2021-10-09,/results?id=16257&show=704,704
197,27,3,Abierta 1.00M A)Abierta B)Libre,Speed,Arena,2021-10-09,/results?id=16256&show=704,704
198,28,2,Abierta 0.90M A)Abierta B)Libre,Tiempo Ideal,Arena,2021-10-09,/results?id=16255&show=704,704
199,29,1,Fei Childrens Bronze Tour,Dos Recorridos Art. 273.3.3.2,Cesped,2021-10-09,/results?id=16254&show=704,704
200,0,1208,Libre 1.20,Speed,Bugambilias,2021-12-09,/results?id=15921&show=688,688
201,1,1108 A/l,Abierta 1.10© / Libre 1.10,Speed,Bugambilias,2021-12-09,/results?id=15920&show=688,688
202,2,1008 A/L,Abierta 1.00© / Libre 1.00,Jump Off,Bugambilias,2021-12-09,/results?id=15919&show=688,688
203,3,908 A/L,Abierta .90 © / Libre .90,Special Two Phases,Bugambilias,2021-12-09,/results?id=15918&show=688,688
204,4,758,Abierta .75©,Tiempo Ideal 2 Recorridos,Indoor,2021-12-09,/results?id=15917&show=688,688
205,5,608,Abierta .60,Tiempo Ideal 2 Recorridos,Indoor,2021-12-09,/results?id=15916&show=688,688
206,6,1458,Gran Premio 1.45©,Jump Off,Derby,2021-12-09,/results?id=15900&show=688,688
207,7,1358,Libre 1.35,Jump Off,Derby,2021-12-09,/results?id=15899&show=688,688
208,8,1258,Copa 1.25,Speed,Derby,2021-12-09,/results?id=15898&show=688,688
209,9,607,Abierta .60,Tiempo Ideal 2 Recorridos,Indoor,2021-11-09,/results?id=15915&show=688,688
210,10,757,Abierta .75,Tiempo Ideal 2 Recorridos,Indoor,2021-11-09,/results?id=15914&show=688,688
211,11,907 A/L,Abierta .90© / Libre .90,Special Two Phases,Bugambilias,2021-11-09,/results?id=15913&show=688,688
212,12,1007 A/L,Abierta 1.00 © / Libre 1.00,Special Two Phases,Bugambilias,2021-11-09,/results?id=15912&show=688,688
213,13,1107 A/L,Abierta 1.10 / Libre 1.10,Speed,Bugambilias,2021-11-09,/results?id=15911&show=688,688
214,14,1207L,Libre 1.20,Speed,Bugambilias,2021-11-09,/results?id=15910&show=688,688
215,15,1407,Clasico 1.40©,Jump Off,Derby,2021-11-09,/results?id=15897&show=688,688
216,16,1207,Copa 1.20©,Desempate Limitado,Derby,2021-11-09,/results?id=15896&show=688,688
217,17,1307,Libre 1.30©,Speed,Derby,2021-11-09,/results?id=15895&show=688,688
218,18,606,Abierta .60,Tiempo Ideal 2 Recorridos,Indoor,2021-10-09,/results?id=16400&show=688,688
219,19,756,Abierta .75,Tiempo Ideal 2 Recorridos,Indoor,2021-10-09,/results?id=15909&show=688,688
220,20,906 A/L,Abierta .90 / Libre .90,Special Two Phases,Bugambilias,2021-10-09,/results?id=15908&show=688,688
221,21,1006 A/L,Abierta 1.00 / Libre 1.00,Jump Off,Bugambilias,2021-10-09,/results?id=15907&show=688,688
222,22,1106L,Libre 1.10,Speed,Bugambilias,2021-10-09,/results?id=15906&show=688,688
223,23,1106A,Abierta 1.10©,Desempate Limitado,Derby,2021-10-09,/results?id=15894&show=688,688
224,24,1206,Libre 1.20,Special Two Phases,Derby,2021-10-09,/results?id=15893&show=688,688
225,25,1256,Libre 1.25,Special Two Phases,Derby,2021-10-09,/results?id=15892&show=688,688
226,26,1306,Libre 1.30,Desempate Limitado,Derby,2021-10-09,/results?id=15891&show=688,688
227,27,1356,Libre 1.35,Desempate Limitado,Derby,2021-10-09,/results?id=15890&show=688,688
228,28,1406,Libre 1.40,Special Two Phases,Derby,2021-10-09,/results?id=15889&show=688,688
229,29,755,Abierta .75,Tiempo Ideal 2 Recorridos,Bugambilias,2021-09-09,/results?id=15905&show=688,688
230,30,905,Libre .90,Two Phases,Bugambilias,2021-09-09,/results?id=15904&show=688,688
231,31,1005,Libre 1.00,Special Two Phases,Bugambilias,2021-09-09,/results?id=15903&show=688,688
232,32,1105,Libre 1.10,Desempate Limitado,Bugambilias,2021-09-09,/results?id=15902&show=688,688
233,33,1155,Libre 1.15,Desempate Limitado,Bugambilias,2021-09-09,/results?id=15901&show=688,688
234,34,1205,Abierta 1.20©,Special Two Phases,Derby,2021-09-09,/results?id=15888&show=688,688
235,35,1255,Libre 1.25,Special Two Phases,Derby,2021-09-09,/results?id=15887&show=688,688
236,36,1305,Libre1.30©,Speed,Derby,2021-09-09,/results?id=15886&show=688,688
237,37,1355,Libre 1.35,Speed,Derby,2021-09-09,/results?id=15885&show=688,688
238,38,1405,Libre 1.40,Speed,Derby,2021-09-09,/results?id=15884&show=688,688
239,0,546,"Mini Infantil, y LIbre",Tiempo Ideal 2 Recorridos,Abierta,2021-12-09,/results?id=16399&show=711,711
240,1,524.2,Cab Jovenes 5 Años y Cab Nov. 1 Año,Jump Off,Abierta,2021-12-09,/results?id=16398&show=711,711
241,2,544,"Infantil Low,Preliminar y Libre",Jump Off,Abierta,2021-12-09,/results?id=16397&show=711,711
242,3,543,Libre,Jump Off,Abierta,2021-12-09,/results?id=16396&show=711,711
